Work date,Project name,Type,Page number,Std. DUR,Real DUR,Contents,Designer,Status,Start work,End work,"Break/Fix/
Check",Note ,,,,,,,,,,,,,,,,,
11/2/2015,Freesale VN site,New,1,8,8,Design Services pages,ManhT,done,08:30,17:30,01:00,,,,,,,,,,,,,,,,,,
11/3/2015,Freesale VN site,New,1,8,8,Design Services pages,ManhT,done,08:30,17:30,01:00,,,,,,,,,,,,,,,,,,
11/2/2015,Freesale VN site,Fix,2,8,8,Coding and fix error for homepage and customer page,TruyenLC,done,08:30,17:30,01:00,,,,,,,,,,,,,,,,,,
11/3/2015,Freesale VN site,New,4,8,4.5,"Coding for pages: About Us, Director Message, Our Teams, Why Us",TruyenLC,done,13:00,17:30,0,,,,,,,,,,,,,,,,,,
11/4/2015,Freesale VN site,Fix,6,8,8,Test and fix error for all pages,TruyenLC,done,08:30,17:30,01:00,,,,,,,,,,,,,,,,,,
11/2/2015,Freesale VN site,New,-,8,8,Contents,Tue,done,08:30,17:30,01:00,,,,,,,,,,,,,,,,,,
11/3/2015,JCEM,New,-,3.5,3.5,,Tue,done,08:30,12:00,0,,,,,,,,,,,,,,,,,,
11/3/2015,N-Asset,New,-,4.5,4.5,,Tue,done,13:00,17:30,0,,,,,,,,,,,,,,,,,,
11/4/2015,Panda,New,-,8,8,,Tue,done,08:30,17:30,01:00,,,,,,,,,,,,,,,,,,
11/5/2015,Contract & Quotation,New,-,8,8,,Tue,done,08:30,17:30,01:00,,,,,,,,,,,,,,,,,,
11/5/2015,Freesale VN site,New,-,6,6,Content,Tue,done,08:30,15:30,01:00,,,,,,,,,,,,,,,,,,
11/10/2015,Panda,New,-,3.5,3.5,,Tue,done,08:30,12:00,0,,,,,,,,,,,,,,,,,,
11/10/2015,Contract & Quotation,New,-,4,4.5,,Tue,done,13:00,17:30,0,,,,,,,,,,,,,,,,,,
11/11/2015,Freesale VN site,New,-,8,8,,Tue,done,08:30,17:30,01:00,,,,,,,,,,,,,,,,,,
11/12/2015,Panda,New,-,3.5,3.5,,Tue,done,08:30,12:00,0,,,,,,,,,,,,,,,,,,
11/12/2015,N-Asset,New,-,4,4.5,Meeting & Quotation,Tue,done,13:00,17:30,0,,,,,,,,,,,,,,,,,,
11/13/2015,N-Asset,New,-,3.5,3.5,,Tue,done,08:30,12:00,0,,,,,,,,,,,,,,,,,,
11/13/2015,Panda,New,-,5,5,,Tue,done,13:00,18:00,0,,,,,,,,,,,,,,,,,,
11/16/2015,Panda,New,-,8,8,,Tue,done,08:30,17:30,01:00,,,,,,,,,,,,,,,,,,
11/17/2015,Contract & Quotation,New,-,3.5,3.5,N-Asset,Tue,done,08:30,12:00,0,,,,,,,,,,,,,,,,,,
11/17/2015,JCEM,New,-,4,4.5,,Tue,done,13:00,17:30,0,,,,,,,,,,,,,,,,,,
11/18/2015,Freesale VN site,New,-,8,8,Meeting & Quotation,Tue,done,08:30,17:30,01:00,,,,,,,,,,,,,,,,,,
11/19/2015,Panda,New,-,3.5,3.5,,Tue,done,08:30,12:00,0,,,,,,,,,,,,,,,,,,
11/19/2015,Pasona,New,-,4,4.5,Estimation,Tue,done,13:00,17:30,0,,,,,,,,,,,,,,,,,,
11/20/2015,Panda,New,,3.5,3.5,,Tue,done,08:30,12:00,0,,,,,,,,,,,,,,,,,,
11/20/2015,Meeting,New,,4.5,4.5,,Tue,done,13:00,17:30,0,,,,,,,,,,,,,,,,,,
11/23/2015,N-Asset,New,,2,2,,Tue,done,08:30,10:30,0,,,,,,,,,,,,,,,,,,
11/23/2015,TNS Express,New,,1.5,1.5,,Tue,done,10:30,12:00,0,,,,,,,,,,,,,,,,,,
11/23/2015,Contract & Quotation,New,,3,3,,Tue,done,13:00,16:00,0,,,,,,,,,,,,,,,,,,
11/24/2015,Panda,New,,3.5,3.5,,Tue,done,08:30,12:00,0,,,,,,,,,,,,,,,,,,
11/24/2015,Contract & Quotation,New,,4.5,4.5,,Tue,done,13:00,17:30,0,,,,,,,,,,,,,,,,,,
11/25/2015,N-Asset,New,,3.5,3.5,,Tue,done,08:30,12:00,0,,,,,,,,,,,,,,,,,,
11/25/2015,Freesale VN site,New,,4.5,4.5,,Tue,done,13:00,17:30,0,,,,,,,,,,,,,,,,,,
11/26/2015,Freesale VN site,New,-,8,8,,Tue,done,08:30,17:30,01:00,,,,,,,,,,,,,,,,,,
11/27/2015,Contract & Quotation,New,-,8,8,,Tue,done,08:30,17:30,01:00,,,,,,,,,,,,,,,,,,
11/30/2015,Report,New,-,8,8,,Tue,done,08:30,17:30,01:00,,,,,,,,,,,,,,,,,,
11/5/2015,Freesale VN site,New,5,8,8,"T?o các trang D?ch V?: Thi?t k? website, B?o trì & qu?n lý website
, Website cho ?i?n tho?i, Web ?a ngôn ng?, H? th?ng CMS",TruyenLC,done,08:30,17:30,01:00,,,,,,,,,,,,,,,,,,
11/2/2015,Panda,New,-,8,8,Map HN,DucTP,,08:30,17:30,01:00,,,,,,,,,,,,,,,,,,
11/3/2015,Panda,New,-,8,8,Map HN,DucTP,,08:30,17:30,01:00,,,,,,,,,,,,,,,,,,
11/4/2015,Panda,New,-,8,8,Map HN,DucTP,,08:30,17:30,01:00,,,,,,,,,,,,,,,,,,
11/5/2015,Panda,New,-,8,8,Map HN,DucTP,,08:30,17:30,01:00,,,,,,,,,,,,,,,,,,
11/6/2015,Freesale VN site,Fix and New,6,8,8,"T?o thêm trang outsourcing và ki?m tra l?i l?i c?a các trang d?ch v? khác
T?o quiz ? footer",TruyenLC,done,08:30,17:30,01:00,,,,,,,,,,,,,,,,,,
11/9/2015,Freesale VN site,New,10,8,6.5,Resonsive for pages,TruyenLC,not yet,08:30,16:00,01:00,,,,,,,,,,,,,,,,,,
11/12/2015,Ugene site,Edit,,4,4,Edit content and design of all pages,TruyenLC,done,08:30,13:30,01:00,,,,,,,,,,,,,,,,,,
11/12/2015,Freesale VN site,Edit,2,4,4,"Thay ??i n?i dung các trang: Gi?i thi?u, Ph??ng châm ho?t ??ng
S?a menu",TruyenLC,done,13:30,17:30,,,,,,,,,,,,,,,,,,,
11/16/2015,Freesale VN site,New,1,8,8,"T?o trang Liên h?
Tìm hi?u s? d?ng reCatpcha c?a Google ?? s? d?ng cho trang Liên h?",TruyenLC,not yet,08:30,17:30,01:00,,,,,,,,,,,,,,,,,,
11/17/2015,Freesale VN site,Fix,1,4,4,Hoàn thành trang Liên h?,TruyenLC,done,08:30,13:30,01:00,,,,,,,,,,,,,,,,,,
11/17/2015,Freesale VN site,Edit,5,4,4,"Thay d?i n?i dung trang Gi?i thi?u, Ph??ng châm ho?t ??ng, Thông ?i?p t?ng giám ??c, Quy trình ki?m soát ch?t l??ng, ?i?m m?nh",TruyenLC,done,13:30,17:30,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
11/18/2015,N-asset,New,3,,4.5,"Design 3 pages: Client list, Interview list, Interview detail",TruyenLC,done,08:30,14:00,01:00,,,,,,,,,,,,,,,,,,
11/18/2015,Freesale VN site,Edit,3,,3.5,"Thay ??i n?i dung trang ?i?m m?nh, Tuy?n d?ng
S?a code slider trên trang ch?",TruyenLC,done,14:00,17:30,,,,,,,,,,,,,,,,,,,
11/20/2015,N-asset,Edit,3,,2,"S?a design các trang: Client list, Interview list, Interview detail",TruyenLC,done,08:30,10:30,,,,,,,,,,,,,,,,,,,
11/20/2015,Freesale VN site,Edit,3,,2.5,S?a responsive,TruyenLC,done,15:00,17:30,,,,,,,,,,,,,,,,,,,
11/23/2015,N-asset,Code,3,8,8,"Coding for 3 pages: Client list, Interview list, Interview detail",TruyenLC,done,08:30,17:30,01:00,,,,,,,,,,,,,,,,,,
11/24/2015,N-asset,Code,1,,4,Fix error in admin for Custom Field Template Plugin,TruyenLC,done,08:30,13:30,01:00,,,,,,,,,,,,,,,,,,
11/24/2015,Freesale VN site,Content,9,,4,Update content for Customer Pages,TruyenLC,done,13:30,17:30,,,,,,,,,,,,,,,,,,,
11/25/2015,Freesale VN site,Edit,,,2.5,S?a slider Khách hàng ? trang ch?,TruyenLC,done,13:00,15:30,,,,,,,,,,,,,,,,,,,
11/25/2015,Freesale VN site,Edit,,,2,S?a link t? slider Khách hàng ??n trang Customer,TruyenLC,not yet,15:30,17:30,,,,,,,,,,,,,,,,,,,
11/9/2015,Panda,New,,,7,Edit map HaNoi - Restaurant ,DucTP,,,,,,,,,,,,,,,,,,,,,,
11/10/2015,Panda,New,,,8,V? map HCM,DucTP,,,,,,,,,,,,,,,,,,,,,,
11/11/2015,Panda,New,,,8,V? map HCM + sua map HN,DucTP,,,,,,,,,,,,,,,,,,,,,,
11/12/2015,Panda,New,,,8,thêm title map HCM + map HN,DucTP,,,,,,,,,,,,,,,,,,,,,,
11/13/2015,Panda,New,,,8,sua map HCM (??i ti?ng tên các nhà hàng khách s?n qua tieng nhat,DucTP,,,,,,,,,,,,,,,,,,,,,,
11/16/2015,Panda,New,,,8,sua map HCM (??i ti?ng tên các nhà hàng khách s?n qua tieng nhat,DucTP,,,,,,,,,,,,,,,,,,,,,,
11/17/2015,Panda,New,,,8,V? l?i map cùa HCM,DucTP,,,,,,,,,,,,,,,,,,,,,,
11/18/2015,Panda,New,,,8,Design trang Gofl ,DucTP,,,,,,,,,,,,,,,,,,,,,,
11/19/2015,Panda,New,,,6,"sua ten nhà hàng, khách s?n map HN , HCM",DucTP,,,,,,,,,,,,,,,,,,,,,,
11/20/2015,Panda,New,,,8,"thi?t k? trang Spa, edit trang gofl",DucTP,,,,,,,,,,,,,,,,,,,,,,
11/23/2015,Panda,New,,,8,"thi?t k? trang Spa  cover HN, HCM",DucTP,,,,,,,,,,,,,,,,,,,,,,
11/24/2015,Panda,New,,,8,"lam Q&A deign Q3, Q4",DucTP,,,,,,,,,,,,,,,,,,,,,,
11/6/2015,Panda,New,,,8,trang nhà hang và sua trang tour,ductp,,,,,,,,,,,,,,,,,,,,,,
11/26/2015,Freesale VN site,Edit,,,4.5,S?a link t? slider Khách hàng ??n trang Customer,TruyenLC,done,13:00,17:30,,,,,,,,,,,,,,,,,,,
11/27/2015,Freesale VN site,,,,4.5,Chuy?n server + s?a l?i trang customer,TruyenLC,done,08:30,14:00,01:00,,,,,,,,,,,,,,,,,,
11/25/2015,Panda,New,,,8,cover HN-HCM,DucTP,,,,,,,,,,,,,,,,,,,,,,
11/26/2015,Panda,New,,,8,edit map HCM ,DucTP,,,,,,,,,,,,,,,,,,,,,,
11/27/2015,Panda,New,,,8,New pickup page,DucTP,,,,,,,,,,,,,,,,,,,,,,
11/30/2015,Panda,New,,,4,"H?p panda, add noi dung trang Tour",DucTP,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
