Work date,??NO,Project Name,Type,Page number,Std. DUR,Real DUR,Page name,Designer,Status,Start work,End work,Break/Fix,Note,,,,,,,
02/11/2015,2,teppanyaki-kayama,new,1,8,8,index,NhaNTT,mail:done,08:30,17:30,1:00,,,,,,,,
03/11/2015,2,teppanyaki-kayama,new,1,5,8,welcome,NhaNTT,mail:done,08:30,17:30,1:00,,,,,,,,
04/11/2015,2,teppanyaki-kayama,new,1,5,6,menu,NhaNTT,mail:done,08:30,15:30,1:00,,,,,,,,
04/11/2015,2,teppanyaki-kayama,new,1,3,2,drink,NhaNTT,mail:done,15:30,17:30,0,,,,,,,,
05/11/2015,2,teppanyaki-kayama,new,1,0,2.25,drink,NhaNTT,mail:done,09:45,12:00,0,,,,,,,,
05/11/2015,2,teppanyaki-kayama,new,1,2,2,shopinfo,NhaNTT,mail:done,13:00,15:00,,,,,,,,,
05/11/2015,2,teppanyaki-kayama,new,1,2,2.5,access,NhaNTT,mail:done,15:00,17:30,00:00,,,,,,,,
06/11/2015,2,teppanyaki-kayama,new,1,0,1.5,access,NhaNTT,mail:done,08:30,10:00,00:00,,,,,,,,
06/11/2015,2,teppanyaki-kayama,new,1,4,5,english,NhaNTT,mail:done,10:00,16:00,01:00,,,,,,,,
06/11/2015,2,teppanyaki-kayama,new,1,2,1.5,check allpage,NhaNTT,mail:done,16:00,17:30,,,,,,,,,
09/11/2015,2,teppanyaki-kayama,new,1,0,1,check allpage,NhaNTT,mail:done,16:00,17:00,,,,,,,,,
02/11/2015,3,ennichi,new,1,8,7.5,index,ThanhNLY,mail:done,09:00,17:30,1:00,,,,,,,,
03/11/2015,3,ennichi,new,1,0,1.5,index,ThanhNLY,mail:done,08:30,10:00,,,,,,,,,
03/11/2015,3,ennichi,new,1,4,6.5,party,ThanhNLY,mail:done,10:00,17:30,1:00,,,,,,,,
04/11/2015,3,ennichi,new,1,5,7.5,concept,ThanhNLY,mail:done,09:00,17:30,1:00,,,,,,,,
05/11/2015,3,ennichi,new,1,5,6.5,kushikatu,ThanhNLY,mail:done,09:00,16:30,1:00,,,,,,,,
05/11/2015,3,ennichi,new,1,3,1,access,ThanhNLY,mail:done,16:30,17:30,,,,,,,,,
06/11/2015,12,torikichi,fix,-,2,2,fix,LinhKT,work:done,08:30,10:30,,order tháng 10,,,,,,,
06/11/2015,3,ennichi,new,1,0,3.5,access,ThanhNLY,work:done,08:30,12:00,,,,,,,,,
06/11/2015,3,ennichi,new,1,3,4,beginner,ThanhNLY,work:done,13:00,17:00,,,,,,,,,
02/11/2015,1,??????,new,7,5,8,index.html,VanVTK,mail:done,08:30,17:30,1:00,,,,,,,,
03/11/2015,1,??????,new,7,3,3.5,secret.html,VanVTK,mail:done,08:30,12:00,,,,,,,,,
03/11/2015,1,??????,new,7,2,2.5,access.html,VanVTK,mail:done,13:00,15:30,,,,,,,,,
04/11/2015,1,??????,new,7,4,8,dinner.html,VanVTK,mail:done,08:30,17:30,1:00,,,,,,,,
05/11/2015,1,??????,new,7,4,8,party.html,VanVTK,mail:done,08:30,17:30,1:00,,,,,,,,
06/11/2015,1,??????,new,7,8,8,drink.html + Fix,VanVTK,mail:done,08:30,17:30,1:00,Fix access +dinner+party,,,,,,,
09/11/2015,1,??????,new,7,0,5,Fix all pages,VanVTK,mail:done,08:30,14:30,1:00,Fix all pages,,,,,,,
02/11/2015,7,td-move,new,10,8,7,wedding,NgocTT,work:done,09:00,17:00,1:00,,,,,,,,
03/11/2015,7,td-move,new,10,4,4.75,course,NgocTT,work:done,08:45,14:30,1:00,,,,,,,,
03/11/2015,7,td-move,new,10,3,3,philosophy,NgocTT,work:done,14:30,17:30,,,,,,,,,
04/11/2015,7,td-move,new,10,4,4.25,philosophy,NgocTT,work:done,08:45,14:00,1:00,,,,,,,,
04/11/2015,7,td-move,new,10,4,3.5,drink,NgocTT,work:done,14:00,17:30,,,,,,,,,
05/11/2015,7,td-move,new,10,3,2,drink,NgocTT,work:done,08:45,10:45,,,,,,,,,
05/11/2015,7,td-move,new,10,4,4.5,menu,NgocTT,work:done,10:45,16:15,01:00,,,,,,,,
11/6/2015,7,td-move,new,10,2,2.25,menu,NgocTT,work:done,08:45,11:00,,,,,,,,,
06/11/2015,7,td-move,new,10,3,4.5,lunch,NgocTT,work:done,11:00,16:30,01:00,,,,,,,,
09/11/2015,7,td-move,new,10,4,3.75,recruit,NgocTT,work:done,08:45,13:30,01:00,,,,,,,,
09/11/2015,7,td-move,new,10,2,1.5,mailform,NgocTT,work:done,13:30,15:00,,,,,,,,,
09/11/2015,7,td-move,new,10,5,2.5,check,NgocTT,work:done,15:00,17:30,,,,,,,,,
10/11/2015,7,td-move,new,10,0,7.5,check & fix,NgocTT,work:done,09:00,17:30,01:00,,,,,,,,
10/11/2015,3,ennichi,new,6,4,7.5,check & fix,ThanhNLY,work:done,08:30,17:00,01:00,,,,,,,,
06/11/2015,1,??????,new,6,0,6,check,TriN,work:done,08:30,15:30,01:00,,,,,,,,
06/11/2015,2,??? ??,new,7,0,2,check,TriN,work:done,15:30,17:30,,,,,,,,,
09/11/2015,5,???,new,6,8,8,index,TriN,work:done,08:30,17:30,01:00,,,,,,,,
10/11/2015,2,??? ??,new,7,0,3.5,check,TriN,work:done,08:30,12:00,,,,,,,,,
10/11/2015,8,??,new,6,0,4.5,check,TriN,work:done,13:00,17:30,,,,,,,,,
11/11/2015,8,Shukei,new,1,8,7.5,index,ThanhNLY,work:done,09:00,17:30,01:00,,,,,,,,
11/11/2015,9,zen,new,1,8,8,index,NhaNTT,work:done,08:30,17:30,01:00,,,,,,,,
12/11/2015,9,zen,new,1,6,6,menu,NhaNTT,work:done,10:30,17:30,01:00,,,,,,,,
13/11/2015,9,zen,new,1,0,2,menu,NhaNTT,work:done,11:00,14:00,01:00,,,,,,,,
13/11/2015,9,zen,new,1,4,3.5,party,NhaNTT,work:done,14:00,17:30,01:00,,,,,,,,
16/11/2015,9,zen,new,1,0,3,party,NhaNTT,work:done,08:30,11:30,,,,,,,,,
16/11/2015,9,zen,new,1,4,5,drink,NhaNTT,work:done,11:30,17:30,01:00,,,,,,,,
17/11/2015,9,zen,new,1,4,5,welcome,NhaNTT,work:done,08:30,14:30,01:00,,,,,,,,
17/11/2015,9,zen,new,1,2,3,access,NhaNTT,work:done,14:30,17:30,,,,,,,,,
18/11/2015,9,zen,new,1,4,4.5,check & fix,NhaNTT,work:done,13:00,17:30,,,,,,,,,
19/11/2015,9,zen,new,1,0,3.5,check & fix,NhaNTT,work:done,08:30,12:00,,,,,,,,,
16/11/2015,16,tsusugyu,fix,7,4,3.5,all pages,TrucTTT,work:done,08:30,12:00,,,,,,,,,
16/11/2015,8,Shukei,new,1,4,4.5,drink,ThanhNLY,mail:done,10:00,15:30,01:00,,,,,,,,
16/11/2015,8,Shukei,new,1,4,2,party,ThanhNLY,mail:done,15:30,17:30,,,,,,,,,
17/11/2015,8,Shukei,new,1,0,3.25,party,ThanhNLY,mail:done,08:45,12:00,,,,,,,,,
17/11/2015,8,Shukei,new,1,4,4.5,shopinfo,ThanhNLY,mail:done,13:00,17:30,,,,,,,,,
18/11/2015,8,Shukei,new,1,6,8,menu,ThanhNLY,mail:done,08:30,17:30,01:00,,,,,,,,
19/11/2015,8,Shukei,new,1,0,2,menu,ThanhNLY,mail:done,08:30,10:30,,,,,,,,,
19/11/2015,8,Shukei,new,1,4,6,about,ThanhNLY,mail:done,10:30,17:30,01:00,,,,,,,,
20/11/2015,8,Shukei,new,1,4,4.5,check fix all pages,ThanhNLY,mail:done,13:00,17:30,,,,,,,,,
23/11/2015,2,teppanyaki-kayama,fix,1,2,1.5,fix,NhaNTT,work:done,16:00,17:30,,,,,,,,,
20/11/2015,,tsusugyu,fix,6,2,1,all pages,TrucTTT,work:done,16:30,17:30,,,,,,,,,
23/11/2015,12,okinawa-ziel,new,1,8,3.5,top,TrucTTT,work:done,14:00,17:30,,,,,,,,,
17/11/2015,6,?????,new,1,8,8,index,TriN,work:done,08:30,17:30,01:00,,,,,,,,
24/11/2015,12,okinawa-ziel,new,1,0,4.5,index,TrucTTT,work:done,08:30,14:00,01:00,,,,,,,,
24/11/2015,12,okinawa-ziel,new,1,3,3.5,scene,TrucTTT,work:done,14:00,17:30,,,,,,,,,
10/11/2015,5,???,new,5,4,8,wellcome,VanVTK,work:done,08:30,17:30,01:00,,,,,,,,
11/11/2015,5,???,new,5,4,8,course,VanVTK,work:done,08:30,17:30,01:00,,,,,,,,
12/11/2015,5,???,new,5,2,2.5,access,VanVTK,work:done,15:00,17:30,,,,,,,,,
13/11/2015,5,???,new,5,5,8,drink,VanVTK,work:done,08:30,17:30,01:00,,,,,,,,
16/11/2015,5,???,new,5,5,8,menu,VanVTK,work:done,08:30,17:30,01:00,,,,,,,,
17/11/2015,5,???,new,5,0,3,Fix + check all page,VanVTK,work:done,14:30,17:30,,,,,,,,,
18/11/2015,6,?????,new,5,0,8,okinawafood + Fix & check FC5,VanVTK,work:done,08:30,17:30,01:00,Fix order so 5,,,,,,,
19/11/2015,6,?????,new,5,6,8,about + shopinfo,VanVTK,work:done,08:30,17:30,01:00,,,,,,,,
20/11/2015,6,?????,new,5,5,8,drink ,VanVTK,work:done,08:30,17:30,01:00,,,,,,,,
23/11/2015,6,?????,new,5,4,8,party + Fix & check all page,VanVTK,work:done,08:30,17:30,01:00,,,,,,,,
24/11/2015,11,????,new,5,3,8,intro,VanVTK,work:done,08:30,17:30,01:00,,,,,,,,
25/11/2015,11,????,new,5,5,8,access+english,VanVTK,work:done,08:30,17:30,01:00,,,,,,,,
26/11/2015,11,????,new,5,4,8,menu,VanVTK,work:done,08:30,17:30,01:00,,,,,,,,
27/11/2015,11,????,new,5,5,8,season+Fix & Check all page,VanVTK,work:done,08:30,17:30,01:00,,,,,,,,
24/11/2015,13,nitoryu,new,6,8,5.5,index,ThanhNLY,work:done,09:00,15:30,01:00,,,,,,,,
24/11/2015,13,nitoryu,new,6,0,1.5,menu,ThanhNLY,work:done,15:30,17:00,,,,,,,,,
26/11/2015,13,shopinfo,new,6,2,3.5,shopinfo,ThanhNLY,work:done,09:00,13:30,01:00,,,,,,,,
26/11/2015,13,nitoryu,new,6,4,4.5,menu,LinhKT,work:done,08:30,14:00,01:00,,,,,,,,
26/11/2015,13,nitoryu,new,6,4,3.5,drink,LinhKT,work:done,14:00,16:30,,,,,,,,,
25/11/2015,12,okinawa-ziel,new,1,5,5,scene,TrucTTT,work:done,09:00,15:00,01:00,,,,,,,,
25/11/2015,12,okinawa-ziel,new,1,3,2.5,party,TrucTTT,work:done,15:00,17:30,,,,,,,,,
26/11/2015,12,okinawa-ziel,new,1,4,6,party,TrucTTT,work:done,09:00,16:00,01:00,,,,,,,,
27/11/2015,8,Shukei,new,6,2,1.5,fix all page,ThanhNLY,work:done,08:30,10:00,,,,,,,,,
27/11/2015,13,nitoryu,new,6,0,1.5,drink,LinhKT,work:done,08:30,10:00,,,,,,,,,
27/11/2015,13,nitoryu,new,6,6,6.5,party,LinhKT,work:done,10:00,17:30,01:00,,,,,,,,
05/11/2015,7,td-move,new,6,2,2,access,BichVTN,work:done,15:30,17:30,,ph? order c?a anh Ng?c,,,,,,,
09/11/2015,4,daimyou-hete.com,new,10,8,7,index,BichVTN,work:done,09:30,17:30,01:00,,,,,,,,
10/11/2015,4,daimyou-hete.com,new,10,0,1,index,BichVTN,work:done,09:00,10:00,,,,,,,,,
10/11/2015,4,daimyou-hete.com,new,10,1,1,voice.html,BichVTN,work:done,10:00,11:00,,,,,,,,,
10/11/2015,4,daimyou-hete.com,new,10,4,4,hoten/index.html,BichVTN,work:done,11:00,16:00,01:00,,,,,,,,
11/11/2015,4,daimyou-hete.com,new,10,4,4,hoten/food.html,BichVTN,work:done,08:30,13:30,01:00,,,,,,,,
12/11/2015,4,daimyou-hete.com,new,10,0,2,hoten/food.html,BichVTN,work:done,13:00,15:00,,,,,,,,,
12/11/2015,4,daimyou-hete.com,new,10,2,2,hoten/access.html,BichVTN,work:done,15:00,17:00,,,,,,,,,
13/11/2015,10,bb2013,fix,6,3,3,all pages,BichVTN,work:done,08:30,11:30,,,,,,,,,
13/11/2015,3,ennichi,fix,6,4,4,all pages,BichVTN,work:done,13:00,17:00,,,,,,,,,
16/11/2015,4,daimyou-hete.com,new,10,2,2.5,yakitori/index.html,BichVTN,work:done,08:30,11:00,,,,,,,,,
16/11/2015,4,daimyou-hete.com,new,10,3,3,yakitori/food.html,BichVTN,work:done,11:00,15:00,01:00,,,,,,,,
16/11/2015,4,daimyou-hete.com,new,10,2,2,yakitori/access.html,BichVTN,work:done,15:00,17:00,,,,,,,,,
16/11/2015,12,kashintei,fix,8,1,0.5,all pages,BichVTN,work:done,17:00,17:30,,,,,,,,,
17/11/2015,4,daimyou-hete.com,new,10,2,2,yakitori/party.html,BichVTN,work:done,08:30,10:30,,,,,,,,,
17/11/2015,4,daimyou-hete.com,new,10,2,2,hoten/party.html,BichVTN,work:done,10:30,13:30,01:00,,,,,,,,
18/11/2015,4,daimyou-hete.com,new,10,3,4,check fix all pages,BichVTN,work:done,08:30,13:30,01:00,,,,,,,,
24/11/2015,10,amoretto,new,6,8,7.5,index.html,BichVTN,work:done,08:30,17:00,01:00,,,,,,,,
25/11/2015,10,amoretto,new,6,3,3,a-propose,BichVTN,work:done,09:00,12:00,,,,,,,,,
26/11/2015,10,amoretto,new,6,4,4,anniversary,BichVTN,work:done,09:00,14:00,01:00,,,,,,,,
26/11/2015,10,amoretto,new,6,3,3,access.html,BichVTN,work:done,14:00,17:00,,,,,,,,,
27/11/2015,10,amoretto,new,6,4,5,alacarte.html,BichVTN,work:done,08:30,14:30,01:00,,,,,,,,
27/11/2015,10,amoretto,new,6,0,4,check fix all pages,BichVTN,work:done,14:30,18:30,,,,,,,,,
17/11/2015,7,takamatsu,new,10,8,8,index.html,NgocTT,work:done,08:30,17:30,01:00,,,,,,,,
18/11/2015,7,takamatsu,new,10,4,4,shoplist.html,NgocTT,work:done,08:30,13:30,01:00,,,,,,,,
18/11/2015,7,takamatsu,new,10,4,4,honten.html,NgocTT,work:done,13:30,17:30,,,,,,,,,
19/11/2015,7,takamatsu,new,10,7,7,8f.html,NgocTT,work:done,08:30,16:30,01:00,,,,,,,,
20/11/2015,7,takamatsu,new,10,7,8,7f.html,NgocTT,work:done,08:30,17:30,01:00,,,,,,,,
23/11/2015,7,takamatsu,new,10,7,7.5,4f.html,NgocTT,work:done,09:00,17:30,01:00,,,,,,,,
24/11/2015,7,takamatsu,new,10,7,8,ginza7.html,NgocTT,work:done,08:30,17:30,01:00,,,,,,,,
25/11/2015,7,takamatsu,new,10,7,8,namikidori.html,NgocTT,work:done,08:30,17:30,01:00,,,,,,,,
26/11/2015,7,takamatsu,new,10,5,5,isesakityo.html,NgocTT,work:done,08:30,14:30,01:00,,,,,,,,
26/11/2015,7,takamatsu,new,10,3,3,contact.html,NgocTT,work:done,14:30,17:30,,,,,,,,,
27/11/2015,7,takamatsu,new,10,0,7,check & fix,NgocTT,work:done,09:00,17:00,01:00,,,,,,,,
30/11/2015,2,yakiniku-mirai,new,9,8,4.5,index,NgocTT,working,13:00,17:30,,,,,,,,,
27/11/2015,12,okinawa-ziel,new,6,4,3.5,lunch,TrucTTT,work:done,09:00,13:30,01:00,,,,,,,,
27/11/2015,12,okinawa-ziel,new,6,4,4,dinner,TrucTTT,work:done,13:30,17:30,,,,,,,,,
30/11/2015,12,okinawa-ziel,new,6,4,3.5,shopinfo,TrucTTT,work:done,09:00,13:30,01:00,,,,,,,,
30/11/2015,12,okinawa-ziel,fix,6,0,4,check all pages,TrucTTT,work:done,13:30,17:30,,,,,,,,,
30/11/2015,13,nitoryu,fix,6,0,5,check fix all pages,LinhKT,work:done,11:30,17:30,01:00,,,,,,,,
25/11/2015,13,???,new,7,4,3.5,menu,TriN,work:done,14:00,17:30,,,,,,,,,
26/11/2015,10,amoretto???????,new,6,4,5,sake,TriN,work:done,08:30,14:30,01:00,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
